"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","headache","count","integer","8","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","headache","percentage","percentage","10.958904109589","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","influenza","count","integer","13","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","influenza","percentage","percentage","17.8082191780822","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","headache and influenza","count","integer","9","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","headache and influenza","percentage","percentage","12.3287671232877","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","unknown","count","integer","2","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","unknown","percentage","percentage","2.73972602739726","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","none","count","integer","41","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","none","percentage","percentage","56.1643835616438","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","not in observation","count","integer","0","window_name","-30 to 0"
"1","DUS MOCK","cohort_name","acetaminophen","overall","overall","Indication from 30 days before to the index date","not in observation","percentage","percentage","0","window_name","-30 to 0"
"1",NA,"overall","overall","overall","overall","settings",NA,"result_type","character","summarise_indication","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"package_name","character","DrugUtilisation","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"package_version","character","1.1.0","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"group","character","cohort_name","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"strata","character","","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"additional","character","window_name","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"min_cell_count","character","0","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"censor_date","character","observation_period_end_date","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"cohort_table_name","character","dus_cohort","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"index_date","character","cohort_start_date","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"indication_cohort_name","character","indications_cohort","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"mutually_exclusive","character","TRUE","overall","overall"
"1",NA,"overall","overall","overall","overall","settings",NA,"unknown_indication_table","character","condition_occurrence","overall","overall"
